static_text,log_level,preprocessed_text
failed to get the procedure result procId=,warn,fail get procedur result
Proc-v2 is unsupported on this master: ,warn,unsupport master
No serialized HRegionInfo in ,warn,serial hregioninfo
"Call to  |  for scanner id =  |  for  |  of  |  failed, , tries =  | , maxAttempts =  | , timeout =  |  ms, time elapsed =  |  ms",warn,call scanner id fail tri maxattempt timeout ms time elaps ms
decode scan response failed,warn,decod scan respons fail
", tries =  | , maxAttempts =  | , timeout =  |  ms, time elapsed =  |  ms",warn,tri maxattempt timeout ms time elaps ms
"TimeRange failed, likely caused by integer overflow. ",error,timerang fail like caus integ overflow
"The  |  setting:  |  is smaller than  | , will use  |  instead.",warn,set smaller use instead
Replica thread interrupted - no replica calls *,error,replica thread interrupt replica call
No replicas found for *,warn,replica found
"id= | , caught throwable. Unexpected. |  Retrying. Server= | , tableName=",error,caught throwabl unexpect retri
id= |  error for  |  processing ,error,error process
$$$Empty Message$$$,error,empti messag
"id= | , task rejected by pool. Unexpected. |  Server=",warn,task reject pool unexpect
Caught unexpected exception/error: ,warn,caught unexpect
id= |  replica task rejected by pool; no replica calls,warn,replica task reject pool replica call
"# | , not sent:  |  operations, ",warn,sent oper
$$$Empty Message$$$,warn,empti messag
"Server sent us neither results nor exceptions for  | , numAttempt:",error,server sent us neither result except numattempt
Couldn't update cached region locations: ,error,could updat cach region locat
"User callback threw an exception for  | , ignoring",error,user callback threw except ignor
"Failed to locate region in ' | ', row=' | ', locateType=",warn,fail locat region
"Can't parse the hostname, port and startCode from this string:  | , continuing",warn,ca pars hostnam port startcod string continu
invalid charset,error,invalid charset
Relogin failed,warn,relogin fail
$$$Empty Message$$$,warn,empti messag
Exception encountered while connecting to  | the server : ,warn,except encount connect server
$$$Empty Message$$$,error,empti messag
"Can't get the connection header response for rpc timeout, please check if server has the correct configuration to support the additional function.",error,ca get connect header respons rpc timeout pleas check server correct configur support addit function
Unrecognized idle state ,warn,unrecogn idl state
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
unexpected row-key: ,warn,unexpect
Failed getting scanner and then failed close on cleanup,warn,fail get scanner fail close cleanup
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
Use authentication/integrity/privacy as value for rpc protection configurations instead of auth/auth-int/auth-conf.,warn,use valu rpc protect configur instead
Error disposing of SASL client,error,error dispos sasl client
Error disposing of SASL server,error,error dispos sasl server
Ignoring unknown action code ' | ',error,ignor unknown action code
Ignoring unknown action code '*',error,ignor unknown action code
$$$Empty Message$$$,error,empti messag
Exception while reading cells from result.Resetting the scanner to scan again.,error,except read cell scanner scan
"* to * session expired, close and reconnect",warn,session expir close reconnect
"* to * failed for * of *, code = *, retries = *",warn,fail code retri
"* to * failed for * of *, code = *, retries = *, give up",warn,fail code retri give
"* to * failed to connect to zk fo * of *, retries = *",warn,fail connect zk fo retri
"* to * failed to connect to zk fo * of *, retries = *, give up",warn,fail connect zk fo retri give
"Unexpected getShortMidpointKey result, fakeKey: | , firstKeyInBlock:",error,unexpect getshortmidpointkey result fakekey firstkeyinblock
"Unexpected getShortMidpointKey result, lastKeyOfPreviousBlock: | , fakeKey:",error,unexpect getshortmidpointkey result lastkeyofpreviousblock fakekey
instantiating HBaseConfiguration() is deprecated. Please use HBaseConfiguration#create() to construct a plain Configuration,warn,instanti hbaseconfigur deprec pleas use hbaseconfigur creat construct plain configur
Error thrown: ,warn,error thrown
Config option \,warn,config option
Caught error,error,caught error
"Trying to login with a different user: *, existed user is *.",warn,tri login differ user exist user
"Error while trying to login as user * through *, with message: *.hbase.client.keytab.principalhbase.client.keytab.file",error,error tri login user messag
Error resolving host name: ,error,error resolv host name
Error while trying to perform the initial login: ,error,error tri perform initi login
Got exception while trying to refresh credentials: ,error,got except tri refresh credenti
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
"Trying to put a buffer, not created by this pool! Will be just ignored",warn,tri put buffer creat pool ignor
Compressor obtained from CodecPool is already finished(),warn,compressor obtain codecpool alreadi finish
Deompressor obtained from CodecPool is already finished(),warn,deompressor obtain codecpool alreadi finish
"Could not instantiate specified RNG, falling back to default",warn,could instanti specifi rng fall back default
"Could not instantiate specified RNG, falling back to default",warn,could instanti specifi rng fall back default
Unable to close SpanReceiver correctly: ,warn,unabl close spanreceiv correctli
Warning: using deprecated configuration key  | .  Please use  |  instead.,warn,warn use deprec configur key pleas use instead
Conflicting values for  |  and  | .  Using ,warn,conflict valu use
Tool configuration is not initialized,error,tool configur initi
$$$Empty Message$$$,error,empti messag
Use -h or --help for usage instructions.,error,use help usag instruct
Error when parsing command-line arguments,error,error pars argument
Use -h or --help for usage instructions.,error,use help usag instruct
Error running command-line tool,error,error run tool
Error running command-line tool,error,error run tool
Not able to load class or method for com.sun.management.UnixOperatingSystemMXBean.,warn,abl load class method
Not able to get the number of open file descriptors,warn,abl get number open file descriptor
Not able to close the BufferedReader,warn,abl close bufferedread
Not able to close the InputStreamReader,warn,abl close inputstreamread
Not able to close the InputStream,warn,abl close inputstream
Not able to close the BufferedReader,warn,abl close bufferedread
Not able to close the InputStreamReader,warn,abl close inputstreamread
Not able to close the InputStream,warn,abl close inputstream
Not able to get the max number of file descriptors,warn,abl get max number file descriptor
Not able to close the reader,warn,abl close reader
Not able to close the InputStream,warn,abl close inputstream
$$$Empty Message$$$,error,empti messag
sun.misc.Unsafe is not available/accessible,warn,
Buffer creation interrupted,error,buffer creation interrupt
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
sun.misc.Unsafe is not accessible,warn,access
Thread: |  exited with Exception:,warn,thread exit except
; joinwait=,warn,
sleep interrupted,warn,sleep interrupt
Cannot find printThreadInfo method. Check hadoop jars linked,warn,find printthreadinfo method check hadoop jar link
"We slept  | ms instead of  | ms, this is likely due to a long  | garbage collecting pause and it's usually bad, see  | http://hbase.apache.org/book.html#trouble.rs.runtime.zkexpired",warn,slept ms instead ms like due long garbag collect paus usual bad see http
Exception caught during division,error,except caught divis
"* is trying to release lock entry *, but it is not the holder.",warn,tri releas lock entri holder
Constructed invalid call. class= |  method= |  types=,error,construct invalid call
SecurityException calling method. class= |  method= |  types=,error,securityexcept call method
"Incorrect umask attempted to be created:  | , using default file permissions.",warn,incorrect umask attempt creat use default file permiss
We have chosen not to throw exception but some unexpectedly thrown out,warn,chosen throw except unexpectedli thrown
"FileSystem doesn't support setStoragePolicy; HDFS-6584, HDFS-9345 not available. This is normal and expected on earlier Hadoop versions.",warn,filesystem support setstoragepolici avail normal expect earlier hadoop version
"No access to setStoragePolicy on FileSystem from the SecurityManager; HDFS-6584, HDFS-9345 not available. This is unusual and probably warrants an email to the user@hbase mailing list. Please be sure to include a link to your configs, and logs that include this message and period of time before it. Logs around service start up will probably be useful as well.",warn,access setstoragepolici filesystem securitymanag avail unusu probabl warrant email user hbase mail list pleas sure includ link config log includ messag period time log around servic start probabl use well
Unable to set storagePolicy= |  for path= | .  | DEBUG log level might have more details.,warn,unabl set debug log level might detail
"Configuration \ | be set to true. |  HBase checksum doesn't require  | it, see https://issues.apache.org/jira/browse/HBASE-6868.",warn,configur set true hbase checksum requir see http
Couldn't use reflection with builder API,warn,could use reflect builder api
Couldn't use reflection with builder API,warn,could use reflect builder api
"Your Hadoop installation's StreamCapabilities implementation doesn't match our understanding of how it's supposed to work. Please file a JIRA and include the following stack trace. In the mean time we're interpreting this behavior difference as a lack of capability support, which will probably cause a failure.",warn,hadoop instal streamcap implement match understand suppos work pleas file jira includ follow stack trace mean time interpret behavior differ lack capabl support probabl caus failur
"Failed to identify the fs of dir  | , ignored",warn,fail identifi fs dir ignor
Failed to load new jar ,warn,fail load new jar
Failed to check remote dir status ,warn,fail check remot dir statu
Failed to load new jar ,warn,fail load new jar
"THIS SHOULD NOT HAPPEN, a class loader |  is already cached for ",warn,happen class loader alreadi cach
Could not write thread info about ' | ' due to a string encoding issue.,warn,could write thread info due string encod issu
= |  is inferior to ,warn,inferior
= |  is superior to ,warn,superior
No initial values,warn,initi valu
Failed to look for classes in  | : ,warn,fail look class
Failed to get next entry from  | : ,warn,fail get next entri
Ignoring duplicate class ,warn,ignor duplic class
 does not exist,warn,exist
Failed to get files from ,warn,fail get file
Ignoring duplicate class ,warn,ignor duplic class
"Sleep interrupted, {0}",warn,sleep interrupt
Waiting interrupted after [{0}] msec,warn,wait interrupt msec
Waiting timed out after [{0}] msec,warn,wait time msec
"Failed to get explanation, ",error,fail get explan
"Hadoop security is enable, but no found of user token",warn,hadoop secur enabl found user token
$$$Empty Message$$$,error,empti messag
"No found of user credentials, but a token was got from user request",warn,found user credenti token got user request
SecureBulkLoadEndpoint is deprecated. It will be removed in future releases.,warn,securebulkloadendpoint deprec remov futur releas
Secure bulk load has been integrated into HBase core.,warn,secur bulk load integr hbase core
Refresh HFiles from table  |   failed: ,error,refresh hfile tabl fail
Exception while trying to refresh store files: ,error,except tri refresh store file
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
Error deleting ,warn,error delet
Error deserializing data from memcached,warn,error deseri data memcach
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
Ignoring Gauge ( | ) with unhandled type: ,warn,ignor gaug unhandl type
Jetty request log can only be enabled using Log4j,warn,jetti request log enabl use log4j
Http request log for  |  could not be created,warn,http request log could creat
Jetty request log for  |  was of the wrong class,warn,jetti request log wrong class
Error while stopping listener for webapp,error,error stop listen webapp
Error while stopping web app context for webapp ,error,error stop web app context webapp
Error while stopping web server for webapp ,error,error stop web server webapp
Unable to acquire lock in  |  seconds. Another instance of profiler might be running.,warn,unabl acquir lock second anoth instanc profil might run
Interrupted while acquiring profile lock.,warn,interrupt acquir profil lock
Caught an exception while processing JMX request,error,caught except process jmx request
Caught an exception while processing JMX request,error,caught except process jmx request
"dfs.web.ugi should not be used. Instead, use hbase.http.staticuser.user.",warn,use instead use
Unable to get value from MBean=  | for attribute= |  ,error,unabl get valu
keys and values arrays must be same size,error,key valu array must size
keys and values arrays can not be empty;,error,key valu array empti
Getting attribute  |  of  |  threw an exception,error,get attribut threw except
getting attribute  |  of  |  threw an exception,error,get attribut threw except
getting attribute  |  of  |  threw an exception,error,get attribut threw except
getting attribute  |  of  |  threw an exception,error,get attribut threw except
getting attribute  |  of  |  threw an exception,error,get attribut threw except
Problem while trying to process JMX query:  |  with MBean ,error,problem tri process jmx queri mbean
Problem while trying to process JMX query:  |  with MBean ,error,problem tri process jmx queri mbean
getting attribute  |  of  |  threw an exception,error,get attribut threw except
getting attribute  |  of  |  threw an exception,error,get attribut threw except
getting attribute  |  of  |  threw an exception,error,get attribut threw except
getting attribute  |  of  |  threw an exception,error,get attribut threw except
Sleep Interrupted:,warn,sleep interrupt
"Remote command:  |   |  , hostname: |  failed at attempt  | . Retrying until maxAttempts:  | . Exception: ",warn,remot command hostnam fail attempt retri maxattempt except
Master not started yet ,warn,master start yet
Failed to connect to ZK ,warn,fail connect zk
Cannot find region server holding region ,warn,find region server hold region
Restoring cluster - restoring region servers reported  |  errors:,warn,restor cluster restor region server report error
$$$Empty Message$$$,warn,empti messag
Restoring cluster - restoring region servers reported  |  errors:,warn,restor cluster restor region server report error
$$$Empty Message$$$,warn,empti messag
While closing the old connection,warn,close old connect
Write failed,error,write fail
Read failed,error,read fail
Test does not make a lot of sense for minicluster. Will set flush size low.,warn,test make lot sens miniclust set flush size low
"Compaction failed, might be caused by other chaos: ",warn,compact fail might caus chao
"Merge failed, might be caused by other chaos: ",warn,merg fail might caus chao
"Move failed, might be caused by other chaos: *",warn,move fail might caus chao
Got exception while doing balance ,warn,got except balanc
Balancer didn't succeed,error,balanc succeed
"Compaction failed, might be caused by other chaos: ",warn,compact fail might caus chao
"Split failed, might be caused by other chaos: ",warn,split fail might caus chao
"Flush failed, might be caused by other chaos: ",warn,flush fail might caus chao
No server is holding hbase:meta right now.,warn,server hold hbase meta right
"Flush failed, might be caused by other chaos: ",warn,flush fail might caus chao
"Mob Compaction failed, might be caused by other chaos: ",warn,mob compact fail might caus chao
Error trying to create  |  could not load it by class name,error,error tri creat could load class name
Exception occurred during performing action: ,warn,except occur perform action
Exception performing action: ,warn,except perform action
Exception occurred during performing action: ,warn,except occur perform action
Exception occurred during performing action: ,warn,except occur perform action
Exception occurred during performing action: ,warn,except occur perform action
Interruption occurred while stopping chaos monkeys ,warn,interrupt occur stop chao monkey
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
Error closing table,warn,error close tabl
"We are restarting the first next() invocation, if your mapper has restarted a few other times like this then you should consider killing this job and investigate why it's taking so long.",warn,restart first next invoc mapper restart time like consid kill job investig take long
initializeTable called multiple times. Overwriting connection and table reference; TableInputFormatBase will not close these old references when done.,warn,initializet call multipl time overwrit connect tabl refer tableinputformatbas close old refer done
"The addDependencyJars(Configuration, Class<?>...) method has been deprecated since it is easy to use incorrectly. Most users should rely on addDependencyJars(Job) instead. See HBASE-8386 for more details.",warn,adddependencyjar configur class method deprec sinc easi use incorrectli user reli adddependencyjar job instead see detail
Could not find jar for class  |  in order to ship it to the cluster.,warn,could find jar class order ship cluster
Could not validate jar file  |  for class ,warn,could valid jar file class
Problem connecting to ZooKeper during task setup,error,problem connect zookep task setup
Problem reading ZooKeeper data during task setup,error,problem read zookeep data task setup
Problem setting up task,error,problem set task
Couldn't instantiate filter!,error,could instanti filter
Couldn't instantiate filter!,error,could instanti filter
Couldn't instantiate filter!,error,could instanti filter
Couldn't instantiate filter!,error,could instanti filter
Couldn't instantiate filter!,error,could instanti filter
An error occurred.,error,error occur
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
Table name mismatch - manifest indicates hash was taken from:  |  but job is reading from: ,warn,tabl name mismatch manifest indic hash taken job read
Suppressing exception from closing tables,error,suppress except close tabl
Failed to convert Scan to String,warn,fail convert scan string
Table '%s' does not exist.,warn,tabl exist
Dry run: Table will be deleted at end of dry run.,warn,dri run tabl delet end dri run
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
Creating table '%s' with '%s' columns and default descriptors.,warn,creat tabl column default descriptor
***Dry run: Failed to delete table '%s'.***%n%s,error,dri run fail delet tabl n
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
Corrupted entry detected. Ignoring the rest of the file. (This is normal when a RegionServer crashed.),warn,corrupt entri detect ignor rest file normal regionserv crash
File  |  is missing. Skipping it.,warn,file miss skip
File  |  does not appear to be an WAL file. Skipping...,warn,file appear wal file skip
Failing job because count of ' | ' does not match expected count of ' | ',error,fail job count match expect count
Batching could not be set,error,batch could set
Caching could not be set,error,cach could set
Error opening 'labels' table,error,error open tabl
Error scanning 'labels' table,error,error scan tabl
Failed reading 'labels' tags,error,fail read tag
Error closing 'labels' table,warn,error close tabl
Failed close of temporary connection,warn,fail close temporari connect
Problem in running map.,error,problem run map
Deleting folder  |  failed!,error,delet folder fail
Using deprecated configuration  |  - please use static accessor methods instead.,warn,use deprec configur pleas use static accessor method instead
Error closing table,warn,error close tabl
"We are restarting the first next() invocation, if your mapper has restarted a few other times like this then you should consider killing this job and investigate why it's taking so long.",warn,restart first next invoc mapper restart time like consid kill job investig take long
Failed to convert Scan to String,warn,fail convert scan string
There's something wrong when locating rowkey:  |  for tablename: ,warn,someth wrong locat rowkey tablenam
Unknown map output value type:,warn,unknown map output valu type
Failed resolve ,warn,fail resolv
"The averageRegionSize is not positive:  | ,  | set it to Long.MAX_VALUE ",warn,averageregions posit set
initializeTable called multiple times. Overwriting connection and table reference; TableInputFormatBase will not close these old references when done.,warn,initializet call multipl time overwrit connect tabl refer tableinputformatbas close old refer done
$$$Empty Message$$$,error,empti messag
"recompare fail after sleep, rowkey=",error,recompar fail sleep
", rowkey=",error,
fail to scan peer table in cleanup,error,fail scan peer tabl cleanup
fail to close source table in cleanup,error,fail close sourc tabl cleanup
fail to close source connection in cleanup,error,fail close sourc connect cleanup
fail to close replicated table in cleanup,error,fail close replic tabl cleanup
fail to close replicated connection in cleanup,error,fail close replic connect cleanup
snapshot does not keeps WALs: ,warn,snapshot keep wal
You may have to run manually chown on: ,warn,may run manual chown
Unable to get the status for file=,warn,unabl get statu
Unable to set the permission for file= | : ,warn,unabl set permiss
Unable to set the owner/group for file= | : ,warn,unabl set
The user/group may not exist on the destination cluster: user= |  group=,warn,may exist destin cluster
Error copying  |  to ,error,error copi
Unable to open source file=,error,unabl open sourc
Unable to get the status for source file=,error,unabl get statu sourc
Unable to get the status for source file=,error,unabl get statu sourc
Unable to get checksum for file=,warn,unabl get checksum
Use -h or --help for usage instructions.,error,use help usag instruct
Use -h or --help for usage instructions.,error,use help usag instruct
 to  |  |  to ,warn,
Change the permission of  |  to ,warn,chang permiss
Snapshot export failed,error,snapshot export fail
"Option ""rows"" unspecified. Using default value 1048576. This could take a very long time.",warn,option row unspecifi use default valu could take long time
Found multiple MetricRegistries implementations:  | . Using first found implementation: ,warn,found multipl metricregistri implement use first found implement
CODE-BUG unknown timeout task type *,error,unknown timeout task type
Ignoring * exception: *,error,ignor except
Found procedures suspended in a ready event! Size=,warn,found procedur suspend readi event
Ignore abort request on * because it has already been finished,warn,ignor abort request alreadi finish
Ignore abort request on * because it does not support rollback,warn,ignor abort request support rollback
Ignoring abort request on state=' | ' for ,warn,ignor abort request
"Waiting termination of thread *, *; sending interrupt",warn,wait termin thread send interrupt
* join wait got interrupted,warn,join wait got interrupt
Already running,warn,alreadi run
Waiting for thread-pool to terminate,warn,wait termin
Interrupted while waiting for thread-pool termination,warn,interrupt wait termin
"since no node for this key *, we can't removed the finished remote procedure",warn,sinc node key ca remov finish remot procedur
"Waiting termination of thread  | , ",warn,wait termin thread
 join wait got interrupted,warn,join wait got interrupt
Toggle KILL before store update to: ,warn,toggl kill store updat
Toggle KILL after store update to: ,warn,toggl kill store updat
Corrupt ,error,corrupt
$$$Empty Message$$$,error,empti messag
Already running,warn,alreadi run
ThreadGroup * contains running threads; *: See STDOUT,error,threadgroup contain run thread see stdout
Listener  |  had an error: ,error,listen error
Listener  |  had an error: ,error,listen error
Listener  |  had an error: ,error,listen error
Rollback because parent is done/rolledback proc=,warn,rollback parent
RootProcedureState is null for ,warn,rootprocedurest null
CODE-BUG: Uncaught runtime exception for ,error,uncaught runtim except
$$$Empty Message$$$,error,empti messag
"Usually this should not happen, we will release the lock before if the procedure is finished, even if the holdLock is true, arrive here means we have some holes where we do not release the lock. And the releaseLock below may fail since the procedure may have already been deleted from the procedure store.",warn,usual happen releas lock procedur finish even holdlock true arriv mean hole releas lock releaselock may fail sinc procedur may alreadi delet procedur store
CODE-BUG: uncatched runtime exception for procedure: ,error,uncatch runtim except procedur
CODE-BUG: uncatched runtime exception for completion cleanup: *,error,uncatch runtim except complet cleanup
Worker terminating UNNATURALLY *,warn,worker termin unnatur
"Worker stuck *, run time *",warn,worker stuck run time
"The BitSetNode for procId=* does not exist, maybe a double deletion?",warn,bitsetnod exist mayb doubl delet
"NOT INCREASING! current= | , candidate=",warn,increas
unable to close the wal file: ,warn,unabl close wal file
"Failed archive of  | , deleting",warn,fail archiv delet
Failed delete of ,warn,fail delet
unexpected active children for root-procedure: *,error,unexpect activ children
"Missing stack id *, max stack id is *, root procedure is *",error,miss stack id max stack id root procedur
"Multiple procedures * have the same stack id *, max stack id is *, root procedure is *",error,multipl procedur stack id max stack id root procedur
"Nothing left to decode. Exiting with missing EOF, log=*",warn,noth left decod exit miss eof
While reading entry #* in *,error,read entri
Failed create of *,warn,fail creat
Got an exception from the sync-loop,error,got except
join interrupted,warn,join interrupt
Someone else is active and deleted logs. retrying.,warn,someon els activ delet log retri
Unable to cleanup logs on load: ,warn,unabl cleanup log load
"Unable to serialize one of the procedure: proc= | , subprocs=",error,unabl serial one procedur
Unable to serialize one of the procedure: ,error,unabl serial one procedur
Unable to serialize the procedure: ,error,unabl serial procedur
Unable to serialize the procedure: ,error,unabl serial procedur
Unable to serialize the procedure: ,error,unabl serial procedur
Unable to serialize the procedures: ,error,unabl serial procedur
"unable to sync slots, retry=",warn,unabl sync slot
"Sync slots after log roll failed, abort.",error,sync slot log roll fail abort
"Unable to roll the log, attempt=",warn,unabl roll log
Unable to roll the log,error,unabl roll log
Unable to roll the log,warn,unabl roll log
someone else has already created log *,warn,someon els alreadi creat log
Someone else created new logs. Expected maxLogId < *,warn,someon els creat new log expect maxlogid
Log file with id=* already exists,error,log file alreadi exist
failed to create log file with id=*,warn,fail creat log file
Encountered exception writing header,warn,encount except write header
procedure WALs count=* above the warning threshold *. check running procedures to see if something is stuck.,warn,procedur wal warn threshold check run procedur see someth stuck
Unable to write the trailer,warn,unabl write trailer
Unable to close the stream,error,unabl close stream
Unable to remove log: ,error,unabl remov log
Log directory not found: ,warn,log directori found
Remove uninitialized log: *,warn,remov uniniti log
Remove uninitialized log: *,warn,remov uniniti log
$$$Empty Message$$$,error,empti messag
Unable to read tracker for *,warn,unabl read tracker
* already deleted when removing log,warn,alreadi delet remov log
"Bad version(or node exist) when persist the last pushed sequence id to zookeeper  | storage, Retry =  | , serverName= | , queueId= | , fileName=",warn,bad version node exist persist last push sequenc id zookeep storag retri
"Failed to parse log position (region= | , peerId= | ), data=",warn,fail pars log posit
"Failed parse log position (serverName=*, queueId=*, fileName=*)",warn,fail pars log posit
Found invalid server name:,error,found invalid server name
Found invalid server name at the end:,error,found invalid server name end
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
Exception occurred while processing  |  : ,error,except occur process
Invalid filter specification  |  - skipping,warn,invalid filter specif skip
$$$Empty Message$$$,warn,empti messag
Could not parse: ,error,could pars
Failed to start server,error,fail start server
$$$Empty Message$$$,warn,empti messag
filters not supported on gets,warn,filter support get
too many results for get ( | ),warn,mani result get
"MaxVersions on Gets do not match, using the first in the list ( | )",warn,maxvers get match use first list
filters not supported on gets,warn,filter support get
"exists() is really get(), just use get()",warn,exist realli get use get
"exists(List<Get>) is really list of get() calls, just use get()",warn,exist list get realli list get call use get
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,warn,empti messag
Failed to negotiate with the server.,error,fail negoti server
Failed,error,fail
Failed,error,fail
Sleep interrupted,warn,sleep interrupt
Exception while balancing cluster.,warn,except balanc cluster
RSGroup Information found to be null. Some regions might be unassigned.,warn,rsgroup inform found null region might unassign
Couldn't obtain rs group information for * on *,warn,could obtain rs group inform
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
Server  |  does not belong to any rsgroup.,warn,server belong rsgroup
Failed to write to rsGroupZNode,error,fail write rsgroupznod
Interrupted,warn,interrupt
Failed to update default servers,warn,fail updat default server
Quit without making region group table online,warn,quit without make region group tabl onlin
Failed to perform check,warn,fail perform check
"Caught exception :  | ,exit code:",warn,caught except exit code
Caught exception : ,warn,caught except
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
Error reading data from zookeeper for path ,error,error read data zookeep path
Error deserializing namespace child from: ,error,error deseri namespac child
The ZNode  |  for namespace  |  does not exist.,warn,znode namespac exist
Failed updating permissions for namespace ,error,fail updat permiss namespac
Failed updating permissions for namespace ,error,fail updat permiss namespac
Environment variable HBASE_ZNODE_FILE not set; znodes will not be cleared on crash by start scripts (Longer MTTR!),warn,environ variabl set znode clear crash start script longer mttr
Can't write znode file ,warn,ca write znode file
